tabled_Årsmodell,tabled_Sylindervolum,tabled_Farge,tabled_Effekt,tabled_Karosseri,tabled_Omregistrering,tabled_Innskudd,tabled_Bilen står i,tabled_Salgsform,tabled_Forrige pris,tabled_Avgiftsklasse,tabled_Antall eiere,id,tabled_Vekt,price,title,place,tabled_Årsavgift,tabled_CO2 utslipp,tabled_1. gang registrert,tabled_Hjuldrift,tabled_Pris eks omreg,tabled_Hjuldriftnavn,tabled_Interiørfarge,tabled_Antall dører,tabled_Str. lasterom,tabled_Drivstoff,tabled_Reg.nr.,tabled_Girkasse,tabled_Antall seter,tabled_Fargebeskrivelse,tabled_Km.stand
,,,,,3660,,,,,,,98554919,,159999,BMW 5-serie,3511 Hønefoss,Inklusiv,,,,156339,,,,,,,,,,
,,,,,3660,,,,,,,98554956,,199999,Audi A6 allroad,3511 Hønefoss,Inklusiv,,,,196339,,,,,,,,,,
,,,,,2563,,,,,,,80169463,,29563,Buddy Citi-Jet 6,0976 Oslo,Ikke inklusiv,,,,27000,,,,,,,,,,
,,,,,1569,,,,,,,96599858,,26569,Saab 9-3,8050 Tverlandet,Inklusiv,,,,25000,,,,,,,,,,
2005,"2,2 l",Grå,120 Hk,Stasjonsvogn,,,Norge,Bruktbil til salgs,,Personbil,2,96443707,1 590 kg,8000,Saab 9-5,7633 Frosta,,178 g/km,11.04.2008,Forhjulsdrift,,,,5,,Diesel,BR62762,Manuell,5,,343 300 km
,,,,,6064,,,,,,,95769000,,465064,Volvo XC 60,1384 Asker,Ikke inklusiv,,,,459000,,,,,,,,,,
,,,,,3660,,,,,,,98555135,,479000,Mercedes-Benz M-Klasse,1364 Fornebu,Inklusiv,,,,475340,,,,,,,,,,
,,,,,Fritatt,,,,,,,97946619,,45000,Volkswagen Variant,3520 Jevnaker,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,3660,,,,,,,98555041,,139999,Toyota Urban Cruiser,3511 Hønefoss,Inklusiv,,,,136339,,,,,,,,,,
,,,,,1255,,,,,,,92212088,,299000,Jeep Wrangler,3647 Hvittingfoss,Inklusiv,,,,297745,,,,,,,,,,
,,,,,1569,,,,,,,98554762,,15569,Volkswagen Touran,3414 Lierstranda,Inklusiv,,,,14000,,,,,,,,,,
,,,,,6064,,,,,,,98554616,,369900,Mazda CX-5,4340 Bryne,Inklusiv,,,,363836,,,,,,,,,,
2014,1 197 l,Grå,120 Hk,SUV/Offroad,,,,Auksjon,,Personbil,,98554803,1 180 kg,137173,Renault Captur,3170 Sem,,,14.04.2014,Forhjulsdrift,,,,5,,Bensin,HT14261,Automat,5,Grå,22 910 km
,,,,,Fritatt,,,,,,,98554943,,579000,Mercedes-Benz M-Klasse,3027 Drammen,Inklusiv,,,,,,,,,,,,,,
,,,,,3660,,,,,,,98555095,,129000,Opel Astra,7820 Spillum,Ikke inklusiv,,,,125340,,,,,,,,,,
,,,,,1569,,,,,,,98552917,,69990,Volvo V70,0694 Oslo,Inklusiv,,,,68421,,,,,,,,,,
,,,,,1987,,,,,,,98554853,,189000,Toyota Proace,4373 Egersund,Ikke inklusiv,,,,187013,,,,,,,,,,
,,,,,3660,,,,,,,96770788,,99660,Toyota Urban Cruiser,2720 Grindvoll,Inklusiv,,,,96000,,,,,,,,,,
,,,,,3660,,,,,,,98554749,,369000,BMW 5-serie,2321 Hamar,Ikke inklusiv,,,,365340,,,,,,,,,,
,,,,,2614,,,,,,,98554900,,74800,Suzuki Swift,3300 Hokksund,Ikke inklusiv,,,,72186,,,,,,,,,,
,,,,,6064,,,,,,,98554780,,239900,Peugeot 3008,1153 Oslo,Ikke inklusiv,,,,233836,,,,,,,,,,
,,,,,6064,,,,,,,98553101,,373000,Volkswagen Tiguan,3221 Sandefjord,Inklusiv,,,,366936,,,,,,,,,,
,,,,,3660,,,,,,,96400712,,135000,BMW 1-serie,3128 Nøtterøy,Inklusiv,,,,131340,,,,,,,,,,
,,,,,6064,,,,,,,98554206,,279000,Hyundai ix35,1831 Askim,Ikke inklusiv,,,,272936,,,,,,,,,,
2011,,Brun,,SUV/Offroad,,,Norge,Bruktbil til salgs,,Personbil,,98553002,,1500,Land Rover Discovery,5570 Aksdal,,,,Firehjulsdrift,,,,5,,Diesel,,Automat,5,,150 000 km
,,,,,1569,,,,,,,98551668,,26569,Peugeot 306,2212 Kongsvinger,Ikke inklusiv,,,,25000,,,,,,,,,,
,,,,,1046,,,,,,,95837626,,36046,Nissan,3920 Porsgrunn,Ikke inklusiv,,,,35000,,,,,,,,,,
,,,,,1569,,,,,,,92431073,,30469,Opel Meriva,4370 Egersund,Inklusiv,,,,28900,,,,,,,,,,
,,,,,1569,,,,,,,98552932,,61569,Mercedes-Benz E-Klasse,8900 Brønnøysund,Inklusiv,,,,60000,,,,,,,,,,
,,,,,Fritatt,,,,,,,95738146,,159000,Jeep Cherokee,2066 Jessheim,Inklusiv,,,,,,,,,,,,,,
,,,,,3660,,,,,,,98553901,,193660,BMW 3-serie,1338 Sandvika,Inklusiv,,,,190000,,,,,,,,,,
,,,,,2614,,,,,,,98551624,,45614,Ford Fiesta,3724 Skien,Inklusiv,,,,43000,,,,,,,,,,
,,,,,3660,,,,,,,98554363,,479000,Audi A6,9511 Alta,Ikke inklusiv,,,,475340,,,,,,,,,,
,,,,,1569,,,,,,,98554161,,39000,Volkswagen Golf,9511 Alta,Ikke inklusiv,,,,37431,,,,,,,,,,
,,,,,1569,,,,,,,98551555,,15569,Volkswagen Passat,2032 Maura,Inklusiv,,,,14000,,,,,,,,,,
,,,,,3660,,,,,,,98499328,,293660,Volvo V70,6165 Sæbø,Inklusiv,,,,290000,,,,,,,,,,
,,,,,6064,,,,,,,98554372,,259000,Volvo V60,4313 Sandnes,Ikke inklusiv,,,,252936,,,,,,,,,,
,,,,,3660,,,,,,,98554551,,239000,Toyota Auris,6517 Kristiansund,Ikke inklusiv,,,,235340,,,,,,,,,,
,,,,,1987,,,,,,,98553319,,139000,Volkswagen Caddy,3735 Skien,Inklusiv,,,,137013,,,,,,,,,,
,,,,,1255,,,,,,,98554685,,189000,Mercedes-Benz Vito,9409 Harstad,Ikke inklusiv,,,,187745,,,,,,,,,,
,,,,,3660,,,,,,,98554335,,89900,Subaru Impreza,7503 Stjørdal,Ikke inklusiv,,,,86240,,,,,,,,,,
,,,,,3660,,,,,,,98552855,,69660,Ford Mondeo,3027 Drammen,Ikke inklusiv,,,,66000,,,,,,,,,,
,,,,,1987,,,,,,,98553004,,219900,Peugeot Expert,1617 Fredrikstad,Inklusiv,,,,217913,,,,,,,,,,
,,,,,1200,,,,,,,84834463,,36200,Mercedes-Benz Vito,3920 Porsgrunn,Inklusiv,,,,35000,,,,,,,,,,
,,,,,3660,,,,,,,98554012,,279000,Mercedes-Benz GLK,1640 Råde,Inklusiv,,,,275340,,,,,,,,,,
,,,,,3660,,,,,,,98553738,,285000,Mazda CX-5,1831 Askim,Ikke inklusiv,,,,281340,,,,,,,,,,
,,,,,6064,,,,,,,98552834,,529000,BMW 3-serie,1529 Moss,Inklusiv,,,,522936,,,,,,,,,,
,,,,,3660,,,,,,,98552674,,115900,Mercedes-Benz B-Klasse,1617 Fredrikstad,Inklusiv,,,,112240,,,,,,,,,,
,,,,,3588,,,,,,,98553563,,99588,Peugeot 308,4636 Kristiansand,Ikke inklusiv,,,,96000,,,,,,,,,,
,,,,,1569,,,,,,,98551282,,17569,Peugeot 206,3716 Skien,Inklusiv,,,,16000,,,,,,,,,,
,,,,,3660,,,,,,,98553915,,53660,Honda Accord,9303 Silsand,Inklusiv,,,,50000,,,,,,,,,,
,,,,,3973,,,,,,,98553093,,249000,BMW i3,4313 Sandnes,Ikke inklusiv,,,,245027,,,,,,,,,,
,,,,,3660,,,,,,,98553489,,175000,Volvo V60,2411 Elverum,Ikke inklusiv,,,,171340,,,,,,,,,,
,,,,,2614,,,,,,,96555808,,82614,Ford Fiesta,5096 Bergen,Inklusiv,,,,80000,,,,,,,,,,
,,,,,3660,,,,,,,98225224,,268660,BMW 3-serie,0175 Oslo,Inklusiv,,,,265000,,,,,,,,,,
,,,,,1987,,,,,,,98552524,,259000,Ford Transit Custom,9497 Harstad,Ikke inklusiv,,,,257013,,,,,,,,,,
,,,,,6064,,,,,,,98553804,,159000,Hyundai i30,4302 Sandnes,Inklusiv,,,,152936,,,,,,,,,,
,,,,,3660,,,,,,,98553809,,149000,Hyundai i30,4302 Sandnes,Inklusiv,,,,145340,,,,,,,,,,
,,,,,2563,,,,,,,98553353,,119000,Suzuki Swift,6600 Sunndalsøra,Ikke inklusiv,,,,116437,,,,,,,,,,
,,,,,3660,,,,,,,98552752,,139000,Mercedes-Benz B-Klasse,6018 Ålesund,Ikke inklusiv,,,,135340,,,,,,,,,,
,,,,,3660,,,,,,,98553475,,79000,Skoda Octavia,7820 Spillum,Ikke inklusiv,,,,75340,,,,,,,,,,
,,,,,3660,,,,,,,98553834,,229000,Volkswagen Tiguan,7820 Spillum,Ikke inklusiv,,,,225340,,,,,,,,,,
,,,,,3660,,,,,,,98551660,,253660,Audi A3,7058 Jakobsli,Ikke inklusiv,,,,250000,,,,,,,,,,
,,,,,6064,,,,,,,98554055,,484900,Tesla Model S,1473 Lørenskog,Inklusiv,,,,478836,,,,,,,,,,
,,,,,3660,,,,,,,98553757,,229000,Ford S-MAX,4352 Kleppe,Inklusiv,,,,225340,,,,,,,,,,
,,,,,6064,,,,,,,98553345,,289000,MINI Countryman,7075 Tiller,Ikke inklusiv,,,,282936,,,,,,,,,,
,,,,,Fritatt,,,,,,,98553108,,429000,Mercedes-Benz E-Klasse,2827 Hunndalen,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,1569,,,,,,,98552868,,299000,Mercedes-Benz M-Klasse,2827 Hunndalen,Ikke inklusiv,,,,297431,,,,,,,,,,
,,,,,3500,,,,,,,66618760,,178500,Volvo V60,4760 Birkeland,Inklusiv,,,,175000,,,,,,,,,,
,,,,,Fritatt,,,,,,,98553223,,579000,Mercedes-Benz CLS,2827 Hunndalen,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,Fritatt,,,,,,,98553360,,669000,Mercedes-Benz CLS,2827 Hunndalen,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,1987,,,,,,,98552857,,359000,Mercedes-Benz Vito,7075 Tiller,Inklusiv,,,,357013,,,,,,,,,,
,,,,,3660,,,,,,,98553407,,199900,Nissan Qashqai,1711 Sarpsborg,Ikke inklusiv,,,,196240,,,,,,,,,,
,,,,,6064,,,,,,,98554074,,458000,Mazda CX-5,3610 Kongsberg,Inklusiv,,,,451936,,,,,,,,,,
,,,,,Fritatt,,,,,,,98552915,,249000,Mercedes-Benz E-Klasse,2827 Hunndalen,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,6064,,,,,,,98553645,,469000,BMW 5-serie,6517 Kristiansund,Ikke inklusiv,,,,462936,,,,,,,,,,
,,,,,6064,,,,,,,98553229,,419900,Volvo V60,2619 Lillehammer,Inklusiv,,,,413836,,,,,,,,,,
,,,,,3660,,,,,,,98553126,,119000,Citroen C5,2827 Hunndalen,Ikke inklusiv,,,,115340,,,,,,,,,,
,,,,,3973,,,,,,,98552837,,229000,Volkswagen Golf,2815 Gjøvik,Ikke inklusiv,,,,225027,,,,,,,,,,
,,,,,6064,,,,,,,98553916,,289000,Toyota Avensis,4313 Sandnes,Ikke inklusiv,,,,282936,,,,,,,,,,
,,,,,6064,,,,,,,98553158,,539000,BMW 3-serie,0511 Oslo,Ikke inklusiv,,,,532936,,,,,,,,,,
,,,,,6064,,,,,,,98553242,,629000,Mercedes-Benz GLC,1661 Rolvsøy,Ikke inklusiv,,,,622936,,,,,,,,,,
,,,,,6064,,,,,,,98553196,,439000,Mercedes-Benz CLA,2301 Hamar,Ikke inklusiv,,,,432936,,,,,,,,,,
,,,,,6064,,,,,,,98553289,,285000,Mercedes-Benz A-Klasse,2301 Hamar,Ikke inklusiv,,,,278936,,,,,,,,,,
,,,,,6064,,,,,,,98553437,,295000,Toyota Auris,1814 Askim,Ikke inklusiv,,,,288936,,,,,,,,,,
,,,,,2614,,,,,,,98553470,,174900,Audi A1,5257 Kokstad,Ikke inklusiv,,,,172286,,,,,,,,,,
,,,,,6064,,,,,,,98553276,,215000,Kia Cee'd,7000 Trondheim,Ikke inklusiv,,,,208936,,,,,,,,,,
,,,,,1987,,,,,,,98553576,,399999,Isuzu D-max,1711 Sarpsborg,Ikke inklusiv,,,,398012,,,,,,,,,,
,,,,,6064,,,,,,,98553659,,305000,Toyota Prius,3187 Horten,Ikke inklusiv,,,,298936,,,,,,,,,,
,,,,,3660,,,,,,,98552873,,469000,BMW 5-serie,5132 Nyborg,Inklusiv,,,,465340,,,,,,,,,,
,,,,,6064,,,,,,,98553716,,439000,Audi Q5,4839 Arendal,Ikke inklusiv,,,,432936,,,,,,,,,,
,,,,,1255,,,,,,,98553939,,195000,Ford Transit,9325 Bardufoss,Ikke inklusiv,,,,193745,,,,,,,,,,
,,,,,3660,,,,,,,98552669,,199000,Mercedes-Benz B-Klasse,4858 Arendal,Ikke inklusiv,,,,195340,,,,,,,,,,
,,,,,6064,,,,,,,98552864,,549000,BMW 5-serie,4858 Arendal,Ikke inklusiv,,,,542936,,,,,,,,,,
,,,,,6064,,,,,,,98553171,,205000,BMW 1-serie,4858 Arendal,Ikke inklusiv,,,,198936,,,,,,,,,,
,,,,,6064,,,,,,,98553624,,569000,BMW 3-serie,4858 Arendal,Ikke inklusiv,,,,562936,,,,,,,,,,
,,,,,6064,,,,,,,98552981,,279000,BMW 3-serie,4858 Arendal,Ikke inklusiv,,,,272936,,,,,,,,,,
,,,,,1987,,,,,,,98554184,,379000,Ford Transit Custom,3086 Holmestrand,Ikke inklusiv,,,,377013,,,,,,,,,,
,,,,,3660,,,,,,,98552759,,119000,Ford Mondeo,3086 Holmestrand,Ikke inklusiv,,,,115340,,,,,,,,,,
,,,,,6064,,,,,,,98553443,,309000,Ford Focus,3086 Holmestrand,Ikke inklusiv,,,,302936,,,,,,,,,,
,,,,,3660,,,,,,,98553590,,99000,Ford Focus,3086 Holmestrand,Ikke inklusiv,,,,95340,,,,,,,,,,
,,,,,6064,,,,,,,98553690,,307850,Opel Astra,7075 Tiller,Inklusiv,,,,301786,,,,,,,,,,
,,,,,Ikke oppgitt,,,,,,,98553856,,250000,Mercedes-Benz E-Klasse,1540 Vestby,Inklusiv,,,,,,,,,,,,,,
,,,,,3660,,,,,,,94534250,,78660,Toyota Auris,1825 Tomter,Ikke inklusiv,,,,75000,,,,,,,,,,
,,,,,1569,,,,,,,94543375,,49569,BMW 1-serie,0766 Oslo,Ikke inklusiv,,,,48000,,,,,,,,,,
,,,,,3660,,,,,,,98551873,,160000,Ford Focus,9912 Hesseng,Inklusiv,,,,156340,,,,,,,,,,
,,,,,3660,,,,,,,90784423,,123660,Audi A3,1525 Moss,Ikke inklusiv,,,,120000,,,,,,,,,,
,,,,,1569,,,,,,,98550658,,26469,Ford Mondeo,3525 Hallingby,Inklusiv,,,,24900,,,,,,,,,,
,,,,,Fritatt,,,,,,,98551215,,45000,Mercedes-Benz,7092 Tiller,Inklusiv,,,,,,,,,,,,,,
,,,,,3973,,,,,,,98551816,,823973,Tesla Model S,1396 Billingstad,Inklusiv,,,,820000,,,,,,,,,,
,,,,,3290,,,,,,,98065557,,73290,Citroen Jumpy,1900 Fetsund,Inklusiv,,,,70000,,,,,,,,,,
,,,,,1569,,,,,,,98475156,,35000,Volvo V40,3949 Porsgrunn,Inklusiv,,,,33431,,,,,,,,,,
,,,,,1046,,,,,,,96350266,,129046,Toyota HiLux,5109 Hylkje,Inklusiv,,,,128000,,,,,,,,,,
,,,,,3973,,,,,,,96351226,,129973,Volkswagen UP!,5109 Hylkje,Inklusiv,,,,126000,,,,,,,,,,
,,,,,3660,,,,,,,98550955,,95000,Volkswagen Golf,0484 Oslo,Inklusiv,,,,91340,,,,,,,,,,
,,,,,1569,,,,,,,92396845,,38569,Citroen 2CV,3269 Larvik,Ikke inklusiv,,,,37000,,,,,,,,,,
,,,,,Fritatt,,,,,,,98506821,,329000,Mercedes-Benz Sprinter,2323 Ingeberg,Inklusiv,,,,,,,,,,,,,,
,,,,,3660,,,,,,,98552919,,259000,Mercedes-Benz B-Klasse,1363 Høvik,Ikke inklusiv,,,,255340,,,,,,,,,,
,,,,,3660,,,,,,,98551207,,153660,BMW 5-serie,6094 Leinøy,Inklusiv,,,,150000,,,,,,,,,,
,,,,,1569,,,,,,,97154074,,26569,Ford Mondeo,6893 Vik,Inklusiv,,,,25000,,,,,,,,,,
,,,,,Ikke oppgitt,"10 000,-",,,,,,98549891,,3495,Volkswagen Golf,8300 Svolvær,,,,,,,,,,,,,,,
,,,,,3660,,,,"629 000,-",,,97524074,,619000,Volkswagen Touareg,6517 Kristiansund,Ikke inklusiv,,,,615340,,,,,,,,,,
,,,,,Fritatt,,,,,,,92592482,,69000,Volkswagen Boble (gml. type),0667 Oslo,Inklusiv,,,,,,,,,,,,,,
,,,,,3660,,,,"149 000,-",,,90952145,,129000,Opel Astra,7820 Spillum,Ikke inklusiv,,,,125340,,,,,,,,,,
,,,,,2614,,,,,,,94308988,,70000,Volkswagen UP!,4180 Kvitsøy,Inklusiv,,,,67386,,,,,,,,,,
,,,,,Fritatt,,,,,,,97540784,,29500,Audi A6,1850 Mysen,Inklusiv,,,,,,,,,,,,,,
,,,,,Fritatt,,,,,,,98552438,,699000,Mercedes-Benz M-Klasse,2827 Hunndalen,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,1046,,,,,,,98552450,,39500,Toyota Yaris Verso,3676 Notodden,Inklusiv,,,,38454,,,,,,,,,,
,,,,,6064,,,,,,,98552274,,279900,Volkswagen Golf,1658 Torp,Inklusiv,,,,273836,,,,,,,,,,
,,,,,1569,,,,,,,98416038,,36569,Toyota RAV4,5397 Bekkjarvik,Inklusiv,,,,35000,,,,,,,,,,
,,,,,6064,,,,,,,98552333,,339000,Mazda CX-5,3270 Larvik,Ikke inklusiv,,,,332936,,,,,,,,,,
,,,,,3660,,,,,,,98549952,,473660,Chevrolet Suburban,1394 Nesbru,Inklusiv,,,,470000,,,,,,,,,,
,,,,,1255,,,,,,,98528795,,21255,Renault Trafic,3209 Sandefjord,Ikke inklusiv,,,,20000,,,,,,,,,,
,,,,,1255,,,,,,,98550983,,98000,Toyota HiAce,3731 Skien,Inklusiv,,,,96745,,,,,,,,,,
,,,,,3660,,,,,,,98551218,,175660,Citroen C4 Aircross,6415 Molde,Inklusiv,,,,172000,,,,,,,,,,
,,,,,1569,,,,,,,96349134,,99999,Toyota Corolla,5109 Hylkje,Inklusiv,,,,98430,,,,,,,,,,
,,,,,6064,,,,,,,98551912,,239900,Peugeot 4008,7870 Grong,Ikke inklusiv,,,,233836,,,,,,,,,,
,,,,,1569,,,,,,,95894626,,36569,Kia Sportage,3920 Porsgrunn,Ikke inklusiv,,,,35000,,,,,,,,,,
,,,,,1569,,,,,,,96520862,,31568,Mercedes-Benz C-Klasse,3920 Porsgrunn,Inklusiv,,,,29999,,,,,,,,,,
,,,,,1569,,,,,,,98502201,,14569,Nissan Primera,3046 Drammen,Ikke inklusiv,,,,13000,,,,,,,,,,
,,,,,6064,,,,,,,98552019,,269000,Volkswagen Passat,2815 Gjøvik,Ikke inklusiv,,,,262936,,,,,,,,,,
,,,,,Inklusiv,,,,,,,98552058,,969000,Porsche Cayenne,1448 Drøbak,Inklusiv,,,,,,,,,,,,,,
,,,,,1987,,,,,,,98553636,,139000,Volkswagen Caddy,3735 Skien,Inklusiv,,,,137013,,,,,,,,,,
,,,,,6064,,,,"579 000,-",,,97179709,,569000,Volkswagen Tiguan,4372 Egersund,Ikke inklusiv,,,,562936,,,,,,,,,,
,,,,,6064,,,,,,,98551762,,279900,Mazda CX-5,7870 Grong,Ikke inklusiv,,,,273836,,,,,,,,,,
,,,,,6064,,,,"379 000,-",,,90179616,,359000,Volvo V60,4313 Sandnes,Ikke inklusiv,,,,352936,,,,,,,,,,
,,,,,6064,,,,,,,98551782,,195000,Toyota Auris,3170 Sem,Ikke inklusiv,,,,188936,,,,,,,,,,
,,,,,3660,,,,,,,98551787,,549000,Mercedes-Benz M-Klasse,3550 Gol,Ikke inklusiv,,,,545340,,,,,,,,,,
,,,,,6064,,,,,,,98551618,,319000,Toyota Auris,4400 Flekkefjord,Ikke inklusiv,,,,312936,,,,,,,,,,
,,,,,3660,,,,,,,98490698,,778000,Porsche Cayenne,1448 Drøbak,Inklusiv,,,,774340,,,,,,,,,,
,,,,,6064,,,,,,,98551544,,219900,Mazda 6,7870 Grong,Ikke inklusiv,,,,213836,,,,,,,,,,
,,,,,3660,,,,,,,98551711,,119000,Ford Focus,3086 Holmestrand,Ikke inklusiv,,,,115340,,,,,,,,,,
,,,,,3660,,,,,,,98550857,,40000,Peugeot 307 SW,2080 Eidsvoll,Inklusiv,,,,36340,,,,,,,,,,
,,,,,6064,,,,,,,98551540,,995000,Audi Q7,2013 Skjetten,Ikke inklusiv,,,,988936,,,,,,,,,,
,,,,,1987,,,,"439 000,-",,,92212687,,429000,Mercedes-Benz Vito,1599 Moss,Ikke inklusiv,,,,427013,,,,,,,,,,
,,,,,6064,,,,,,,98551507,,269000,Volkswagen Golf,2815 Gjøvik,Ikke inklusiv,,,,262936,,,,,,,,,,
,,,,,3660,,,,,,,98551413,,179000,Toyota RAV4,6718 Deknepollen,Ikke inklusiv,,,,175340,,,,,,,,,,
,,,,,1569,,,,,,,98550428,,116569,Subaru Impreza,3040 Drammen,Ikke inklusiv,,,,115000,,,,,,,,,,
,,,,,6064,,,,,,,98551449,,599000,Volvo XC 60,2320 Furnes,Inklusiv,,,,592936,,,,,,,,,,
,,,,,3660,,,,,,,98551415,,169000,Toyota Urban Cruiser,9497 Harstad,Ikke inklusiv,,,,165340,,,,,,,,,,
,,,,,3660,,,,,,,98551362,,699000,Porsche Cayenne,4095 Stavanger,Ikke inklusiv,,,,695340,,,,,,,,,,
,,,,,3660,,,,,,,98550840,,119000,Mitsubishi Lancer,9407 Harstad,Ikke inklusiv,,,,115340,,,,,,,,,,
2001,"1,6 l",Grønn,101 Hk,Stasjonsvogn,,,Norge,Bruktbil til salgs,,Personbil,7,98551061,1 105 kg,8569,Ford Focus,4614 Kristiansand,,163 g/km,11.12.2001,Forhjulsdrift,,,,5,,Bensin,DK33176,Manuell,5,,217 000 km
,,,,,3660,,,,,,,98551335,,248000,Mitsubishi Outlander,7223 Melhus,Inklusiv,,,,244340,,,,,,,,,,
,,,,,3973,,,,,,,98551305,,279000,Suzuki SX4 S-Cross,3270 Larvik,Ikke inklusiv,,,,275027,,,,,,,,,,
,,,,,3660,,,,,,,98551287,,179900,Ford S-MAX,5131 Nyborg,Ikke inklusiv,,,,176240,,,,,,,,,,
,,,,,2614,,,,,,,98551318,,129000,Suzuki Swift,2500 Tynset,Inklusiv,,,,126386,,,,,,,,,,
,,,,,6064,,,,,,,96346533,,329964,Volkswagen Golf,5109 Hylkje,Ikke inklusiv,,,,323900,,,,,,,,,,
,,,,,3660,,,,,,,98550284,,66990,Toyota Auris,3050 Mjøndalen,Inklusiv,,,,63330,,,,,,,,,,
,,,,,1569,,,,,,,98551168,,219000,Volkswagen Multivan,1710 Sarpsborg,Inklusiv,,,,217431,,,,,,,,,,
,,,,,3660,,,,,,,97634126,,599900,BMW X6,3027 Drammen,Inklusiv,,,,596240,,,,,,,,,,
,,,,,3660,,,,,,,98551266,,299000,Audi Q5,2007 Kjeller,Inklusiv,,,,295340,,,,,,,,,,
,,,,,3660,,,,,,,98398660,,138660,Audi A3,5018 Bergen,Ikke inklusiv,,,,135000,,,,,,,,,,
2011,2 179 l,Sølv,156 Hk,SUV/Offroad,,,,Auksjon,,Personbil,,98551216,1 710 kg,217788,Mitsubishi Outlander,3170 Sem,,,,Firehjulsdrift,,,,5,,Diesel,KB40245,Automat,5,Sølv,142 465 km
,,,,,5664,,,,,,,87539321,,130664,BMW 3-serie,2410 Hernes,Inklusiv,,,,125000,,,,,,,,,,
,,,,,Fritatt,,,,,,,98550763,,429000,Mitsubishi Outlander,3260 Larvik,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,3660,,,,,,,98550785,,239900,Skoda Yeti,1617 Fredrikstad,Ikke inklusiv,,,,236240,,,,,,,,,,
,,,,,1569,,,,,,,98513554,,30569,Volkswagen Touran,3232 Sandefjord,Inklusiv,,,,29000,,,,,,,,,,
,,,,,1046,,,,,,,98550478,,17046,Fiat Doblo,2162 Brårud,Ikke inklusiv,,,,16000,,,,,,,,,,
,,,,,6064,,,,,,,98551133,,309000,Volkswagen Golf,3112 Tønsberg,Ikke inklusiv,,,,302936,,,,,,,,,,
,,,,,1569,,,,,,,93270687,,69069,Toyota Land Cruiser,1413 Tårnåsen,Inklusiv,,,,67500,,,,,,,,,,
,,,,,3660,,,,,,,98549971,,88660,Volkswagen Golf,6740 Selje,Inklusiv,,,,85000,,,,,,,,,,
,,,,,3660,,,,,,,98547754,,99900,Peugeot 3008,7609 Levanger,Inklusiv,,,,96240,,,,,,,,,,
,,,,,6064,,,,,,,98551028,,369000,Toyota RAV4,1351 Rud,Ikke inklusiv,,,,362936,,,,,,,,,,
,,,,,3660,,,,,,,98550245,,159660,Toyota Avensis,7044 Trondheim,Inklusiv,,,,156000,,,,,,,,,,
,,,,,3660,,,,,,,98548970,,119000,Honda CR-V,7725 Steinkjer,Inklusiv,,,,115340,,,,,,,,,,
,,,,,1987,,,,,,,98550816,,189900,Ford Transit Connect,5131 Nyborg,Ikke inklusiv,,,,187913,,,,,,,,,,
,,,,,6064,,,,,,,98550850,,489000,Volkswagen Passat,7820 Spillum,Ikke inklusiv,,,,482936,,,,,,,,,,
,,,,,6064,,,,,,,98550837,,369000,Volkswagen Passat,1410 Kolbotn,Ikke inklusiv,,,,362936,,,,,,,,,,
,,,,,1046,,,,,,,98550747,,24999,Volkswagen Transporter,4823 Nedenes,Inklusiv,,,,23953,,,,,,,,,,
,,,,,1569,,,,,,,98550229,,141569,Audi A6,2930 Bagn,Inklusiv,,,,140000,,,,,,,,,,
,,,,,6064,,,,,,,98550701,,489000,Audi Q5,6800 Førde,Ikke inklusiv,,,,482936,,,,,,,,,,
,,,,,Fritatt,,,,,,,98548835,,110000,BMW 3-serie,0664 Oslo,Inklusiv,,,,,,,,,,,,,,
,,,,,3660,,,,,,,98550076,,128660,Nissan Leaf,4330 Ålgård,Ikke inklusiv,,,,125000,,,,,,,,,,
,,,,,3660,,,,,,,98550598,,115000,Peugeot 3008,5235 Rådal,Ikke inklusiv,,,,111340,,,,,,,,,,
,,,,,6064,,,,,,,98550517,,289000,Mazda CX-5,2007 Kjeller,Ikke inklusiv,,,,282936,,,,,,,,,,
,,,,,3660,,,,,,,98550194,,123660,Nissan Leaf,4325 Sandnes,Inklusiv,,,,120000,,,,,,,,,,
,,,,,2600,,,,,,,98549507,,89900,Mitsubishi Colt,3940 Porsgrunn,Inklusiv,,,,87300,,,,,,,,,,
,,,,,3660,,,,,,,98549146,,259000,Volkswagen Tiguan,6827 Breim,Ikke inklusiv,,,,255340,,,,,,,,,,
,,,,,3660,,,,,,,98550425,,239000,Skoda Octavia,5257 Kokstad,Ikke inklusiv,,,,235340,,,,,,,,,,
,,,,,6064,,,,,,,98550438,,299000,Volvo V40 Cross Country,4696 Kristiansand,Ikke inklusiv,,,,292936,,,,,,,,,,
,,,,,6064,,,,,,,98550450,,319000,Mercedes-Benz B-Klasse,1711 Sarpsborg,Ikke inklusiv,,,,312936,,,,,,,,,,
,,,,,1569,,,,,,,98549406,,39900,Opel Vectra,7224 Melhus,Ikke inklusiv,,,,38331,,,,,,,,,,
