tabled_Årsmodell,tabled_Sylindervolum,tabled_Farge,tabled_Effekt,tabled_Karosseri,tabled_Omregistrering,tabled_Innskudd,tabled_Bilen står i,tabled_Salgsform,tabled_Forrige pris,tabled_Avgiftsklasse,tabled_Antall eiere,id,tabled_Vekt,price,title,place,tabled_Årsavgift,tabled_CO2 utslipp,tabled_1. gang registrert,tabled_Hjuldrift,tabled_Pris eks omreg,tabled_Hjuldriftnavn,tabled_Interiørfarge,tabled_Antall dører,tabled_Str. lasterom,tabled_Drivstoff,tabled_Reg.nr.,tabled_Girkasse,tabled_Antall seter,tabled_Fargebeskrivelse,tabled_Km.stand
,,,,,3660,,,,,,,98666765,,89900,Mazda 6,7047 Trondheim,Inklusiv,,,,86240,,,,,,,,,,
,,,,,1255,,,,,,,98503849,,46255,Citroen Berlingo,5221 Nesttun,Inklusiv,,,,45000,,,,,,,,,,
,,,,,2563,,,,,,,86844364,,140000,Volvo V70,0756 Oslo,Inklusiv,,,,137437,,,,,,,,,,
,,,,,1569,,,,,,,98664393,,33000,Mercedes-Benz E-Klasse,2007 Kjeller,Inklusiv,,,,31431,,,,,,,,,,
,,,,,1255,,,,,,,98656767,,239000,Toyota Land Cruiser,2020 Skedsmokorset,Ikke inklusiv,,,,237745,,,,,,,,,,
,,,,,Fritatt,,,,,,,98664310,,639000,Chevrolet Silverado,4306 Sandnes,Inklusiv,,,,,,,,,,,,,,
,,,,,3660,,,,,,,98664421,,298660,BMW 5-serie,1488 Hakadal,Ikke inklusiv,,,,295000,,,,,,,,,,
,,,,,1569,,,,,,,95375508,,51568,Audi A8,7655 Verdal,Inklusiv,,,,49999,,,,,,,,,,
,,,,,3500,,,,,,,98658072,,88500,BMW X3,1395 Hvalstad,Inklusiv,,,,85000,,,,,,,,,,
,,,,,1255,,,,,,,98665051,,38255,Ford Transit Connect,0985 Oslo,Ikke inklusiv,,,,37000,,,,,,,,,,
,,,,,1569,,,,,,,98665831,,11569,Ford Galaxy,4052 Røyneberg,Inklusiv,,,,10000,,,,,,,,,,
,,,,,1569,,,,,,,96425499,,66569,BMW 3-serie,5119 Ulset,Ikke inklusiv,,,,65000,,,,,,,,,,
,,,,,3660,,,,,,,98664721,,78000,Toyota Prius,1284 Oslo,Ikke inklusiv,,,,74340,,,,,,,,,,
,,,,,3660,,,,,,,98664490,,28660,Ford Mondeo,9470 Gratangen,Inklusiv,,,,25000,,,,,,,,,,
,,,,,3660,,,,,,,98663032,,178660,Kia Sportage,2830 Raufoss,Ikke inklusiv,,,,175000,,,,,,,,,,
,,,,,1569,,,,,,,98664377,,34569,Mercedes-Benz C-Klasse,1359 Eiksmarka,Ikke inklusiv,,,,33000,,,,,,,,,,
,,,,,3660,,,,,,,98661121,,259660,Volvo XC 60,3180 Nykirke,Inklusiv,,,,256000,,,,,,,,,,
,,,,,3660,,,,,,,97578472,,118660,Ford Mondeo,2619 Lillehammer,Inklusiv,,,,115000,,,,,,,,,,
,,,,,1569,,,,,,,98664666,,21569,Ford Focus,8614 Mo,Inklusiv,,,,20000,,,,,,,,,,
,,,,,6064,,,,,,,98664770,,336064,Suzuki Vitara,7530 Meråker,Inklusiv,,,,330000,,,,,,,,,,
,,,,,3588,,,,,,,77796311,,249000,Volvo V60,5531 Haugesund,Inklusiv,,,,245412,,,,,,,,,,
,,,,,1569,,,,,,,98665156,,31569,Smart,3660 Rjukan,Inklusiv,,,,30000,,,,,,,,,,
,,,,,3660,,,,,,,98659892,,75660,Ford Galaxy,4020 Stavanger,Inklusiv,,,,72000,,,,,,,,,,
,,,,,3660,,,,,,,98665819,,309900,Volvo XC 60,7047 Trondheim,Inklusiv,,,,306240,,,,,,,,,,
,,,,,3660,,,,,,,96635272,,483660,Tesla Model S,5119 Ulset,Ikke inklusiv,,,,480000,,,,,,,,,,
,,,,,1569,,,,,,,98663076,,21569,Suzuki Jimny,6419 Molde,Inklusiv,,,,20000,,,,,,,,,,
,,,,,Fritatt,,,,,,,98661254,,42000,Opel Meriva,4056 Tananger,Inklusiv,,,,,,,,,,,,,,
,,,,,3973,,,,,,,98664931,,158973,Volkswagen,1177 Oslo,Inklusiv,,,,155000,,,,,,,,,,
,,,,,3660,,,,,,,98475818,,279660,Volvo XC 70,5267 Espeland,Ikke inklusiv,,,,276000,,,,,,,,,,
,,,,,1569,,,,,,,93089258,,59069,Volkswagen Polo,3420 Lierskogen,Inklusiv,,,,57500,,,,,,,,,,
,,,,,2614,,,,,,,98660229,,84614,Citroen C-Zero,0777 Oslo,Ikke inklusiv,,,,82000,,,,,,,,,,
,,,,,1569,,,,,,,92323773,,23000,Toyota Yaris Verso,6815 Førde,Inklusiv,,,,21431,,,,,,,,,,
,,,,,1569,,,,,,,96394320,,11569,Ford Mondeo,3618 Skollenborg,Inklusiv,,,,10000,,,,,,,,,,
,,,,,1569,,,,,,,91222786,,121569,Mercedes-Benz E-Klasse,9180 Skjervøy,Ikke inklusiv,,,,120000,,,,,,,,,,
,,,,,1046,,,,,,,98664939,,51046,Toyota HiLux,0668 Oslo,Ikke inklusiv,,,,50000,,,,,,,,,,
,,,,,3660,,,,,,,98661575,,75000,Ford S-MAX,5251 Søreidgrend,Inklusiv,,,,71340,,,,,,,,,,
,,,,,6064,,,,,,,98662886,,366064,Volkswagen Tiguan,0751 Oslo,Ikke inklusiv,,,,360000,,,,,,,,,,
,,,,,6064,,,,,,,93903301,,586064,Mercedes-Benz CLS,4029 Stavanger,Inklusiv,,,,580000,,,,,,,,,,
