tabled_Salgsform,tabled_Forrige pris,id,price,title,place,tabled_Antall dører,tabled_CO2 utslipp,tabled_Interiørfarge,tabled_Hjuldrift,tabled_Pris eks omreg,tabled_Avgiftsklasse,tabled_Antall eiere,tabled_Hjuldriftnavn,tabled_Str. lasterom,tabled_Drivstoff,tabled_Antall seter,tabled_Km.stand,tabled_Årsmodell,tabled_Sylindervolum,tabled_Farge,tabled_Effekt,tabled_Karosseri,tabled_Innskudd,tabled_Omregistrering,tabled_Vekt,tabled_Bilen står i,tabled_Årsavgift,tabled_1. gang registrert,tabled_Girkasse,tabled_Reg.nr.,tabled_Fargebeskrivelse
,,86839353,99569,Audi A6,5918 Frekhaug,,,,,"98 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98667570,25000,Land Rover,2670 Otta,,,,,,,,,,,,,,,,,,,Fritatt,,,Inklusiv,,,,
,,98665922,41569,Suzuki XL7,7049 Trondheim,,,,,"40 000,-",,,,,,,,,,,,,,"1 569,-",,,Ikke inklusiv,,,,
,,98664438,81660,Volvo V70,3160 Stokke,,,,,"78 000,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,98665574,232660,BMW 5-serie,4346 Bryne,,,,,"229 000,-",,,,,,,,,,,,,,"3 660,-",,,Ikke inklusiv,,,,
,,89859155,143660,Honda Accord,4150 Rennesøy,,,,,"140 000,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,98667134,90255,Mercedes-Benz Vito,7725 Steinkjer,,,,,"89 000,-",,,,,,,,,,,,,,"1 255,-",,,Inklusiv,,,,
,,98667089,31568,Audi A4,4842 Arendal,,,,,"29 999,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98668269,205000,Volvo V40 Cross Country,5116 Ulset,,,,,"198 936,-",,,,,,,,,,,,,,"6 064,-",,,Ikke inklusiv,,,,
,,98662661,439987,Volkswagen Transporter,6440 Elnesvågen,,,,,"438 000,-",,,,,,,,,,,,,,"1 987,-",,,Inklusiv,,,,
,,98667023,163660,BMW 5-serie,1642 Saltnes,,,,,"160 000,-",,,,,,,,,,,,,,"3 660,-",,,Ikke inklusiv,,,,
,,98666659,21569,Audi A4,0592 Oslo,,,,,"20 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,96670342,43614,Mitsubishi Colt,1351 Rud,,,,,"41 000,-",,,,,,,,,,,,,,"2 614,-",,,Inklusiv,,,,
,,98510544,16569,Opel Corsa,9900 Kirkenes,,,,,"15 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98665180,329000,Chevrolet Corvette,4639 Kristiansand,,,,,"327 431,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98667660,229000,Volvo V40,5116 Ulset,,,,,,,,,,,,,,,,,,,Fritatt,,,Ikke inklusiv,,,,
,,98624666,39569,Nissan X-Trail,4355 Kvernaland,,,,,"38 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98661296,158660,Volkswagen Golf,2436 Våler,,,,,"155 000,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,83303525,178660,Volvo V40,4250 Kopervik,,,,,"175 000,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,95533828,63660,Mercedes-Benz C-Klasse,3170 Sem,,,,,"60 000,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,98656757,89255,Toyota HiAce,7055 Ranheim,,,,,"88 000,-",,,,,,,,,,,,,,"1 255,-",,,Ikke inklusiv,,,,
,,98666162,163660,Audi A4,0488 Oslo,,,,,"160 000,-",,,,,,,,,,,,,,"3 660,-",,,Ikke inklusiv,,,,
,,98666765,89900,Mazda 6,7047 Trondheim,,,,,"86 240,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,98503849,46255,Citroen Berlingo,5221 Nesttun,,,,,"45 000,-",,,,,,,,,,,,,,"1 255,-",,,Inklusiv,,,,
,,86844364,140000,Volvo V70,0756 Oslo,,,,,"137 437,-",,,,,,,,,,,,,,"2 563,-",,,Inklusiv,,,,
,,98664393,33000,Mercedes-Benz E-Klasse,2007 Kjeller,,,,,"31 431,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98656767,239000,Toyota Land Cruiser,2020 Skedsmokorset,,,,,"237 745,-",,,,,,,,,,,,,,"1 255,-",,,Ikke inklusiv,,,,
,,98664310,639000,Chevrolet Silverado,4306 Sandnes,,,,,,,,,,,,,,,,,,,Fritatt,,,Inklusiv,,,,
,,98664421,298660,BMW 5-serie,1488 Hakadal,,,,,"295 000,-",,,,,,,,,,,,,,"3 660,-",,,Ikke inklusiv,,,,
,,95375508,51568,Audi A8,7655 Verdal,,,,,"49 999,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98658072,88500,BMW X3,1395 Hvalstad,,,,,"85 000,-",,,,,,,,,,,,,,"3 500,-",,,Inklusiv,,,,
,,98665051,38255,Ford Transit Connect,0985 Oslo,,,,,"37 000,-",,,,,,,,,,,,,,"1 255,-",,,Ikke inklusiv,,,,
,,98665831,11569,Ford Galaxy,4052 Røyneberg,,,,,"10 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,96425499,66569,BMW 3-serie,5119 Ulset,,,,,"65 000,-",,,,,,,,,,,,,,"1 569,-",,,Ikke inklusiv,,,,
,,98664721,78000,Toyota Prius,1284 Oslo,,,,,"74 340,-",,,,,,,,,,,,,,"3 660,-",,,Ikke inklusiv,,,,
,,98664490,28660,Ford Mondeo,9470 Gratangen,,,,,"25 000,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,98663032,178660,Kia Sportage,2830 Raufoss,,,,,"175 000,-",,,,,,,,,,,,,,"3 660,-",,,Ikke inklusiv,,,,
,,98664377,34569,Mercedes-Benz C-Klasse,1359 Eiksmarka,,,,,"33 000,-",,,,,,,,,,,,,,"1 569,-",,,Ikke inklusiv,,,,
,,98661121,259660,Volvo XC 60,3180 Nykirke,,,,,"256 000,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
